Nodes,Betweenness,PR,In-Degree,Out-Degree,In-Strength,Out-Strength,In-Harmonic,Out-Harmonic
1,0.5462962962962964,0.13919256124600488,0.3394495412844037,0.4954128440366973,0.24372555305793997,0.16516739607653375,56.62692771688635,0.0
2,4.247366632687734e-05,0.0062131184853118,0.027522935779816515,0.045871559633027525,0.004568461381413712,0.005863999863044843,55.92008757937913,0.0
83,0.035168195718654434,0.023183409635625506,0.06422018348623854,0.05504587155963303,0.017216209818155463,0.007167110943721476,171.60085752499955,71.47087648675162
3,0.2219249065579341,0.0496215990144331,0.1926605504587156,0.1834862385321101,0.05844987464867824,0.059799546625965774,381.22833187882793,270.0175503846645
85,0.014525993883792051,0.028786524808314846,0.03669724770642202,0.045871559633027525,0.03311866934577717,0.015526899825689357,0.0,75.06606330900011
82,0.03508324838600068,0.025362743034003987,0.05504587155963303,0.05504587155963303,0.0422036412492687,0.01510725388445451,168.5572611207489,134.48126513377747
88,0.0,0.007422969696560672,0.027522935779816515,0.045871559633027525,0.004403521554405144,0.0033571675298787805,92.84839972139905,75.43782309529587
89,0.03465851172273191,0.015436951013740003,0.045871559633027525,0.06422018348623854,0.007571222222801058,0.0031473445592613567,155.8384106639243,73.38450468900477
4,0.0,0.0032758712315908104,0.009174311926605505,0.01834862385321101,0.0016288888508457899,0.00041964594123484756,233.91941806176987,0.0
5,0.0,0.01066253355870602,0.03669724770642202,0.027522935779816515,0.008564090195463796,0.014687607943219664,56.62692771688635,0.0
90,0.0,0.0030737909911438908,0.01834862385321101,0.01834862385321101,0.0013500451662094765,0.00041964594123484756,125.48319532223088,0.0
86,0.0,0.018578500545582417,0.045871559633027525,0.03669724770642202,0.012080713272345193,0.005875043177287866,360.511225098649,310.8585702288145
6,0.0,0.006173378680180211,0.027522935779816515,0.01834862385321101,0.006742696298608959,0.008812564765931799,302.18698404787614,256.9276044651246
7,0.0,0.008496993823042103,0.027522935779816515,0.009174311926605505,0.0018414726500239694,0.0014687607943219664,308.50524801018526,434.80769621653866
8,0.00815494393476045,0.03204344055657149,0.05504587155963303,0.05504587155963303,0.01341601632194499,0.0044062823829659,94.30473205582985,76.2515816804406
9,0.0,0.023711858227684166,0.06422018348623854,0.009174311926605505,0.013700739463390876,0.00041964594123484756,403.96221274407577,743.842392678873
10,0.0,0.002809127525308866,0.009174311926605505,0.0,0.0009773333105074738,0.0,270.44045527241684,544.6916140072434
11,0.006371049949031601,0.003509243084731783,0.009174311926605505,0.027522935779816515,0.0019546666210149477,0.02940144375776651,54.7289208942124,254.70826309029792
12,0.21755011892626575,0.09325445339203499,0.2018348623853211,0.1834862385321101,0.12486327023315259,0.05751335050861344,826.8809053261793,669.7033300336094
76,0.0852871219843697,0.037155398180550324,0.09174311926605505,0.12844036697247707,0.06477116139984801,0.030433073363302178,702.2817569322016,302.40532911384577
84,0.0,0.004815049948542744,0.01834862385321101,0.027522935779816515,0.0014659999657612108,0.003094888816607001,658.3488266755091,534.9634195589766
13,0.0004247366632687734,0.009055344778714676,0.03669724770642202,0.01834862385321101,0.012884383695118224,0.0010316296055356668,91.91591469131524,0.0
14,0.028797145769622837,0.041128908515912985,0.05504587155963303,0.045871559633027525,0.04503290496369347,0.023469573525936423,287.6344359277555,558.3062446797774
15,0.0,0.0033925571581612966,0.009174311926605505,0.027522935779816515,0.001791777735930369,0.0012895370069195835,193.1477316338619,115.51211563282283
16,0.0,0.0202443643914839,0.009174311926605505,0.01834862385321101,0.013153277470579754,0.024243295730088172,56.62692771688635,0.0
17,0.0,0.006376153713085468,0.009174311926605505,0.01834862385321101,0.003094888816607001,0.009800481252588837,125.57146518937164,0.0
