Nodes,Betweenness,PR,Degree,Strength,Eigen,Harmonic,Katz
1,0.8950050968399593,0.16987536389540145,0.5504587155963303,0.22214095645715834,0.6355988280821692,88.1495008098046,0.19810066506142995
2,0.0,0.005297017821348632,0.045871559633027525,0.004857499645259668,0.039939178633578876,86.01641749663283,0.09026070175208922
83,0.054366292898402994,0.011413148383290312,0.07339449541284404,0.014137999901217025,0.051913768528287316,341.55828194099144,0.09454434458008337
3,0.3642541624193001,0.04208689855764624,0.24770642201834864,0.060473376069192585,0.33011574814998984,789.4909986888924,0.12733281159079726
85,0.01834862385321101,0.023232392477766747,0.045871559633027525,0.034154889662551306,0.269648261566078,87.1224745513252,0.11314832117979196
82,0.0545361875637105,0.017448714833349158,0.06422018348623854,0.02736692457810094,0.15473563368664214,298.641606382325,0.10568458119788449
88,0.0,0.004822282182977297,0.045871559633027525,0.005660798039309679,0.03273582301962589,207.65208063620767,0.08991563615029874
89,0.0545361875637105,0.010411564435886403,0.08256880733944955,0.00797273862252842,0.04942826710859429,295.7103139683869,0.0920853792032594
4,0.0,0.0024447582343342586,0.01834862385321101,0.0016686680787517338,0.016057569600738966,428.4298413370634,0.08779881265806556
5,0.0,0.012479945333278395,0.045871559633027525,0.016943989789304142,0.16554056851624402,88.14950080980461,0.1015680902144082
90,0.0,0.0022575106993310587,0.01834862385321101,0.0014017579948087061,0.012971433357756247,209.5779676827442,0.08751922000280937
86,0.0,0.010370261949761192,0.05504587155963303,0.013514483243100922,0.06649938200320576,799.4994094310086,0.09511396001862177
6,0.0,0.007911120696263228,0.03669724770642202,0.0097162951420987,0.09492884703193367,665.3088130883629,0.09507697916963027
7,0.0,0.003838677602628598,0.027522935779816515,0.0023561055611373734,0.0038722307424150075,808.7110058505871,0.08742561139077533
8,0.0,0.01030841640056685,0.07339449541284404,0.013508722593807188,0.10143696129253807,210.09742893583794,0.0966201048102155
9,0.0,0.00801017591928892,0.06422018348623854,0.00997552436031675,0.07170918943299015,1222.4860808344902,0.09382333997802812
10,0.0,0.0019028480715600985,0.009174311926605505,0.0008295334982977549,0.008542369967030637,888.3117191841059,0.08708509528461114
11,0.0,0.014985840094452738,0.027522935779816515,0.02063464577015665,0.18755716845610806,355.0775226163638,0.1041944910869518
12,0.34794427454977916,0.0755199995478244,0.25688073394495414,0.11741294929180701,0.11180570649326803,1736.5560763295625,0.14274046560973774
76,0.08953448861705743,0.03768050630119466,0.13761467889908258,0.05526270324711057,0.2873867716822549,1380.3001950886267,0.12249656772448439
84,0.0,0.0040607350572880035,0.027522935779816515,0.003543461459243642,0.020625664601459783,1407.7654268939307,0.08879778821415502
13,0.0,0.0048084280243813615,0.045871559633027525,0.00728576464066067,0.0252570944288533,151.30218302443322,0.09109741236161423
14,0.036357458375807006,0.02270352787959265,0.06422018348623854,0.040380165118287265,0.048316733103556796,931.4774971050772,0.10931299982289536
15,0.0,0.003126024878685943,0.027522935779816515,0.002804178133214393,0.024003065796960828,470.30519166913297,0.08861251081472439
16,0.0,0.013188636713700122,0.01834862385321101,0.021658452199808623,0.038655340297582066,88.1495008098046,0.10075425249625823
17,0.0,0.01147031486632889,0.01834862385321101,0.01746998797889537,0.03098601837718253,210.09742893583794,0.09792884332962737
18,0.0,0.013009365710935389,0.009174311926605505,0.021291359789642375,0.038568143072934005,530.2646048030324,0.10058732107261835
77,0.0,0.005980598452935109,0.027522935779816515,0.007168499009635339,0.06897179400833808,87.14247455132518,0.09267323711515991
19,0.0,0.014232739436580466,0.03669724770642202,0.020016733365454016,0.1896004739345449,1503.289671536693,0.10392436642780448
78,0.0,0.011187143739020099,0.027522935779816515,0.0174011999430195,0.06791174761848251,254.34784182807104,0.0959379908896736
20,0.0,0.005126129420651552,0.027522935779816515,0.005914266608233993,0.04129455670884221,258.4796391931684,0.09063593766431693
87,0.31005776418620457,0.04480443675550306,0.14678899082568808,0.06663237095087074,0.28442076152845525,360.21303554170294,0.129065726858713
21,0.0,0.0033590102839588906,0.01834862385321101,0.0034516883567020807,0.015302833231324883,153.32978710963366,0.08837845996310074
22,0.0,0.003371520733860334,0.009174311926605505,0.0036709241016624787,0.006649679840161036,550.2264653991832,0.08877431702215728
79,0.036357458375807006,0.010099123152996124,0.05504587155963303,0.0176204356879799,0.021191910437294213,340.96401452656266,0.09575661586223277
23,0.0,0.0027691554227931427,0.009174311926605505,0.002569646871163735,0.004654775888112725,1001.7320015612344,0.08803600426900343
24,0.0,0.002990728277008704,0.027522935779816515,0.0033038316914962306,0.0017628819358035009,242.49324562367764,0.08793790868323537
25,0.0,0.0025683669857707457,0.009174311926605505,0.002202554460997487,0.003989807904096619,1165.6715551004495,0.08778990001795209
26,0.0,0.0017652132376811576,0.009174311926605505,0.0007341848203324956,0.0013299359680322236,893.0384997187138,0.08680548301374696
27,0.0,0.003812559042016917,0.03669724770642202,0.005506386152493717,0.012177340891231039,1517.002181869993,0.08987014518036214
28,0.0,0.0016519648463455831,0.009174311926605505,0.00044356999561754944,0.004567795051815006,258.4796391931684,0.08672598423052254
29,0.0,0.0027691554227931427,0.009174311926605505,0.002569646871163735,0.004654775888112732,441.7859335780777,0.08803600426900343
30,0.0,0.0017691979962947382,0.01834862385321101,0.0007341848203324956,0.0008492583106838434,340.96401452656266,0.08672822159602261
31,0.0,0.003298136885796209,0.03669724770642202,0.0032426496231351895,0.01096236543946295,248.72555946489527,0.08824528114852434
32,0.0,0.0016605342948951673,0.01834862385321101,0.0005149490753720977,0.002187566334621116,734.5176259432611,0.08669694866898844
33,0.0,0.0015644248006587607,0.009174311926605505,0.0003670924101662478,0.0006649679840161181,1141.9487352436086,0.0865593787626959
80,0.0,0.0015644248006587607,0.009174311926605505,0.0003670924101662478,0.0006649679840160941,355.0775226163638,0.08655937876269586
34,0.0,0.0022553352416417997,0.01834862385321101,0.0011828533216467986,0.007900018686486304,295.9087069830811,0.08718916717175797
35,0.0,0.0016927021687269178,0.027522935779816515,0.00044356999561754944,0.001861269644439694,87.1224745513252,0.08658062275582773
36,0.0,0.0020046786412055,0.009174311926605505,0.0011828533216467986,0.0029653952804411716,154.59153688062455,0.08690041107385492
81,0.01834862385321101,0.010246647991726802,0.03669724770642202,0.01314904619192713,0.049768741900451594,498.9070703206894,0.09390759361288388
37,0.1580020387359837,0.04721007122599154,0.10091743119266056,0.11344488929473132,0.1745735652814354,989.0596868714817,0.1440934496032973
38,0.0,0.0019930736206644844,0.009174311926605505,0.0011012772304987435,0.005074804489088108,391.82124728141116,0.08698085585746546
39,0.0,0.0032519481347207256,0.009174311926605505,0.0033038316914962306,0.015224413467264322,154.32609585386476,0.08831601854910741
91,0.0,0.0019930736206644844,0.009174311926605505,0.0011012772304987435,0.005074804489088123,258.4796391931684,0.08698085585746541
40,0.0,0.0015734487826457371,0.009174311926605505,0.0003670924101662478,0.0016916014963626964,495.019876847401,0.08653580162691814
41,0.03771661569826708,0.030636452595951998,0.10091743119266056,0.07425071504005809,0.098478005288621,607.1855124273364,0.1252756672314659
42,0.0,0.0032810308627307322,0.027522935779816515,0.005033401700933361,0.011470606920211611,1017.3764029168892,0.08957031011249186
92,0.0,0.007681956590617697,0.009174311926605505,0.01801576597585124,0.028744405797260855,564.0917181360679,0.09691352327738384
93,0.0,0.011192606372403383,0.01834862385321101,0.027842547417224646,0.0706728564184313,402.41609576004697,0.10457725538678872
94,0.0,0.007107563842710304,0.009174311926605505,0.016377969068955674,0.02613127799750993,88.1495008098046,0.09594986429868041
43,0.0,0.0025656456963052115,0.01834862385321101,0.003412076889365765,0.007631489901369902,869.4060872191161,0.0884777122370422
95,0.0,0.006698377334108719,0.009174311926605505,0.015081379850996684,0.04265607786376103,154.59153688062455,0.09651989385854473
44,0.0,0.008895035380773807,0.009174311926605505,0.021291359789642375,0.060220345219427276,1383.0272554693734,0.1007226194719743
45,0.0,0.00541900506517191,0.009174311926605505,0.01146457834826897,0.032426339733537694,669.923798850868,0.09407215256720673
96,0.0,0.012274748078525062,0.027522935779816515,0.024839919754582773,0.01750232721035857,385.21449614655825,0.09805713247816653
46,0.0,0.012950936728630548,0.01834862385321101,0.02617062974143542,0.01826980299813868,1558.7730449199198,0.0985409260785794
97,0.0,0.0014597458578727701,0.009174311926605505,0.00014785666520584982,0.0015225983506049982,359.9416280687731,0.0864508444179372
47,0.0,0.0017480743405819895,0.009174311926605505,0.0005914266608233993,0.0060903934024200065,258.4796391931684,0.08686355413681528
98,0.0,0.0015558553521091765,0.009174311926605505,0.00029571333041169965,0.0030451967012099963,88.1495008098046,0.08658841432422991
48,0.0,0.0015558553521091765,0.009174311926605505,0.00029571333041169965,0.00304519670121001,323.28459959367615,0.08658841432422981
49,0.0,0.0021348879842643153,0.03669724770642202,0.0011828533216467986,0.007289220628022517,248.72555946489527,0.0871493426512385
50,0.0,0.0016519648463455831,0.009174311926605505,0.00044356999561754944,0.0045677950518149815,1325.7009355527175,0.08672598423052254
51,0.0,0.0016481258445306848,0.027522935779816515,0.00044356999561754944,0.0024851834910494448,88.17923979140495,0.08660442507874891
99,0.0,0.001634671249669152,0.01834862385321101,0.00044356999561754944,0.0031042050856537095,435.5478351812167,0.08662769554514647
52,0.0,0.0031734252393739804,0.027522935779816515,0.002360608137596844,0.007206265229393291,1173.9335036909217,0.0876293439704501
53,0.0,0.0014597458578727701,0.009174311926605505,0.00014785666520584982,0.0015225983506049847,2325.950263566771,0.0864508444179373
54,0.0,0.0017480743405819895,0.009174311926605505,0.0005914266608233993,0.006090393402420009,88.81616747647126,0.08686355413681518
55,0.0,0.0022286218117640215,0.009174311926605505,0.0013307099868526484,0.01370338515544501,498.9070703206894,0.08755140366827859
56,0.0,0.0014597458578727701,0.009174311926605505,0.00014785666520584982,0.0015225983506049854,149.08367985612122,0.08645084441793728
100,0.0,0.0014597458578727701,0.009174311926605505,0.00014785666520584982,0.0015225983506050075,154.59153688062455,0.08645084441793724
57,0.0,0.0015558553521091765,0.009174311926605505,0.00029571333041169965,0.0030451967012099907,301.7047524168238,0.08658841432422977
101,0.0,0.011947281768508766,0.01834862385321101,0.02569646871163735,0.002289621409853949,88.1495008098046,0.09826299124172443
58,0.01834862385321101,0.012014865922688887,0.027522935779816515,0.020924267379476127,0.014661077736627982,2566.914574908699,0.09682022571119701
59,0.0,0.006134062256574219,0.027522935779816515,0.01076804403154327,0.00943545637473307,1572.8638011088574,0.0915176159294033
102,0.0,0.013754681070476343,0.027522935779816515,0.029489756950021907,0.0022528809757647703,550.2264653991832,0.09968545367413043
103,0.01834862385321101,0.00896214505284597,0.01834862385321101,0.007244976595086641,0.0015429994123295832,153.2188557213603,0.08942731725416338
104,0.0,0.00882541671329463,0.009174311926605505,0.007097119929880791,0.0001774227331880755,88.1495008098046,0.0892941850867834
60,0.0,0.003552019369166225,0.009174311926605505,0.0033038316914962306,0.0026640105327270067,511.9679322167855,0.0877704613090858
105,0.0,0.0027519616202007335,0.027522935779816515,0.0023504111262033374,0.01027660700272153,354.0412778297976,0.08772538963846559
61,0.0,0.0024273923488316246,0.009174311926605505,0.0018354620508312393,0.008546209678928678,498.9070703206894,0.08736927940582115
62,0.0,0.0014597458578727701,0.009174311926605505,0.00014785666520584982,0.001522598350604998,87.1224745513252,0.08645084441793718
106,0.0,0.0014597458578727701,0.009174311926605505,0.00014785666520584982,0.0015225983506050053,88.21031247463213,0.08645084441793724
107,0.01834862385321101,0.010345384704777832,0.027522935779816515,0.022326356446083325,0.001107087320258575,706.3703701179173,0.09636906992481842
108,0.0,0.0018504028901395117,0.01834862385321101,0.0007392833260292491,0.0063177986453651185,86.01641749663283,0.08692957981679397
63,0.0,0.009750738171745222,0.009174311926605505,0.021291359789642375,0.0003818973422839684,136.84707478356546,0.09595018150412643
109,0.0,0.001527758501143989,0.009174311926605505,0.00014785666520584982,0.00011840707478946011,258.4796391931684,0.08637722269164688
110,0.0,0.001527758501143989,0.009174311926605505,0.00014785666520584982,0.00011840707478945061,694.4588410291246,0.0863772226916469
64,0.0,0.0019402933290548026,0.009174311926605505,0.0008871399912350989,0.009135590103630008,48.88541403884404,0.08713869394940049
65,0.0,0.0021667901117259514,0.009174311926605505,0.0014683696406649913,0.0026598719360644016,410.51858353625744,0.08729769151584967
66,0.0,0.0021667901117259514,0.009174311926605505,0.0014683696406649913,0.0026598719360643964,973.0856050657549,0.08729769151584969
67,0.0,0.0014597458578727701,0.009174311926605505,0.00014785666520584982,0.0015225983506049982,296.2202712563072,0.0864508444179372
68,0.0,0.0024208408002368348,0.009174311926605505,0.0016264233172643481,0.016748581856655013,1677.3501118169304,0.08782654348086384
69,0.0,0.0024208408002368348,0.009174311926605505,0.0016264233172643481,0.01674858185665497,87.75856966965905,0.08782654348086384
70,0.0,0.0017480743405819895,0.009174311926605505,0.0005914266608233993,0.006090393402420007,182.32261540408453,0.08686355413681524
71,0.0,0.0022146411517925723,0.009174311926605505,0.0014683696406649913,0.006836967743142924,428.42984133706335,0.08715807842698577
72,0.0,0.001789138757714468,0.009174311926605505,0.0007341848203324956,0.0034184838715714794,252.8751475282267,0.08673567646931521
73,0.0,0.0017832612016551108,0.009174311926605505,0.0007341848203324956,0.0033832029927254106,88.5050613484486,0.0867583287421918
74,0.0,0.0016260244513309366,0.009174311926605505,0.00044356999561754944,0.002372410102573066,207.65208063620767,0.08657855120245873
75,0.0,0.0015644248006587607,0.009174311926605505,0.0003670924101662478,0.0006649679840161005,323.28459959367615,0.08655937876269572
