Nodes,Betweenness,PR,In-Degree,Out-Degree,In-Strength,Out-Strength,In-Harmonic,Out-Harmonic
1,0.46875,0.15409694293078108,0.34375,0.65625,0.0971507609389946,0.27195006991084314,43.08957667351312,60.18199205577776
4,0.0,0.010711807515012325,0.03125,0.0,0.0007497646995098948,0.0,23.445411386502535,183.98165138096985
89,0.07862903225806452,0.02865893911302231,0.0625,0.1875,0.012989673419008927,0.010646658733040507,132.79451583764427,100.49644878271737
83,0.09375,0.061898177124605165,0.125,0.1875,0.07928761697317137,0.018631652782820887,18.57410872517549,40.0
3,0.06048387096774194,0.06328296015302945,0.125,0.1875,0.07053411410639335,0.037263305565641766,12.607377473456635,0.0
5,0.0,0.019467178144207457,0.03125,0.03125,0.01892739330318312,0.003992497024890189,46.09416289662123,57.045019964360776
88,0.0,0.046009293699173844,0.0625,0.03125,0.016265728619922995,0.0026616646832601266,13.153754321574688,0.0
85,0.06048387096774194,0.11178303393490989,0.15625,0.125,0.06920328176476327,0.023954982149341136,13.296263032376082,0.0
90,0.0,0.010991682446903416,0.03125,0.0625,0.0013308323416300633,0.0026616646832601266,62.39145700632325,50.40919085134276
86,0.0846774193548387,0.04234038739687236,0.0625,0.09375,0.014639155757930697,0.018631652782820883,20.807061437511937,35.54158040694361
2,0.0,0.0206067405909038,0.03125,0.03125,0.021293317466081013,0.003992497024890189,12.28607585974272,0.0
7,0.0,0.01644062961882104,0.03125,0.03125,0.0026616646832601266,0.003992497024890189,42.44544897086083,0.0
6,0.0,0.01740172120957034,0.03125,0.03125,0.014639155757930697,0.019962485124450948,62.39145700632325,50.40919085134276
8,0.01814516129032258,0.01868177161802777,0.0625,0.0625,0.014639155757930697,0.006654161708150316,47.406937093556735,130.47545584019497
47,0.0,0.010991682446903416,0.03125,0.0,0.0013308323416300633,0.0,12.47483446094751,0.0
76,0.0,0.03195478673958691,0.0625,0.03125,0.015969988099560756,0.007984994049780378,12.47483446094751,0.0
9,0.0,0.06701227234771291,0.125,0.0,0.04657913195705221,0.0,68.24322778718219,0.0
35,0.0,0.013526526259874782,0.03125,0.0,0.0013308323416300633,0.0,58.03543157722368,0.0
11,0.0,0.012273690199436799,0.03125,0.03125,0.003992497024890189,0.03859413790727183,57.556636857380994,26.608935047944012
53,0.0,0.010350678570636724,0.0,0.03125,0.0,0.0013308323416300633,51.18936214087521,5.0
84,0.0,0.01410901572031617,0.03125,0.0625,0.0013308323416300633,0.0026616646832601266,19.666705918963608,21.331845946735875
49,0.0,0.014036657970995577,0.0625,0.0,0.0026616646832601266,0.0,106.80548262087225,86.91336942651736
107,0.01814516129032258,0.019250200676390678,0.0625,0.03125,0.00399249702489019,0.053233293665202526,44.462195382344085,32.39812612850148
13,0.01814516129032258,0.014837705704503566,0.03125,0.03125,0.009315826391410442,0.013308323416300631,12.616920451475478,0.0
51,0.0,0.022962538961374245,0.03125,0.0,0.013308323416300631,0.0,43.9262632547787,1.0
63,0.0,0.02671378804138003,0.03125,0.0,0.053233293665202526,0.0,11.97483446094751,23.170260305034265
109,0.0,0.01644062961882104,0.03125,0.0,0.0026616646832601266,0.0,83.02990767402532,276.71033802957123
31,0.0,0.02684303408779775,0.0625,0.03125,0.010646658733040505,0.013308323416300631,74.17546041607395,49.96138581053204
12,0.0,0.014192787140084973,0.03125,0.03125,0.0026616646832601266,0.013308323416300631,42.44544897086083,1.0
14,0.0,0.013395654094728881,0.03125,0.0,0.0013308323416300633,0.0,12.225621048491941,23.295888177648088
52,0.0,0.019149360622529,0.0625,0.03125,0.005323329366520253,0.053233293665202526,19.1157566624663,21.948091831527226
106,0.0,0.014750019596582863,0.0625,0.0,0.0026616646832601266,0.0,0.0,23.639517691844734
15,0.0,0.014837705704503566,0.03125,0.0,0.009315826391410442,0.0,20.3157566624663,0.0
