Nodes,Betweenness,PR,In-Degree,Out-Degree,In-Strength,Out-Strength,In-Harmonic,Out-Harmonic
1,0.36402439024390243,0.10892712806718947,0.24390243902439024,0.4634146341463415,0.0691061974281625,0.29941169327822825,24.43689008993936,0.0
4,0.0,0.009381884475014497,0.024390243902439025,0.024390243902439025,0.0018185841428463815,0.0027642478971265,14.455247045234383,1.0
83,0.0,0.009381884475014497,0.024390243902439025,0.0,0.0018185841428463815,0.0,33.49181339693558,22.40075169419
3,0.22621951219512196,0.09582856039562951,0.1951219512195122,0.21951219512195122,0.11056991588506,0.09122018060517449,50.853951134115,73.81759415902086
85,0.0,0.028949688029939066,0.04878048780487805,0.07317073170731708,0.044227966354024,0.024878231074138498,0.0,14.836788636429649
86,0.0,0.01128776582559143,0.024390243902439025,0.024390243902439025,0.0027642478971265,0.0027642478971265,0.0,16.82106621886618
2,0.03353658536585366,0.02797353697111858,0.04878048780487805,0.0975609756097561,0.0138212394856325,0.0138212394856325,112.60610695027034,73.48195750985074
6,0.0,0.0088195361627444,0.0,0.024390243902439025,0.0,0.0027642478971265,37.56149668415451,0.0
8,0.0,0.028072739703371548,0.07317073170731708,0.0,0.024878231074138498,0.0,52.64524414710361,23.79470261003214
76,0.03414634146341464,0.017170909264855486,0.04878048780487805,0.12195121951219512,0.005528495794253,0.024878231074138498,22.987313694984373,0.0
9,0.0,0.011981358952982676,0.04878048780487805,0.0,0.005528495794253,0.0,36.07106888005857,0.0
34,0.0,0.018511530204410053,0.04878048780487805,0.024390243902439025,0.0082927436913795,0.0027642478971265,0.0,35.75309323901101
35,0.0,0.013575070878715987,0.024390243902439025,0.0,0.0027642478971265,0.0,13.972818802136537,27.510575625905158
11,0.014634146341463414,0.014802922205298216,0.024390243902439025,0.04878048780487805,0.0193497352798855,0.011056991588506,21.168926457025403,16.69905289268101
84,0.0,0.009674305597394945,0.024390243902439025,0.0,0.0027642478971265,0.0,26.52607338749483,35.727201561681255
13,0.0,0.01216976420393092,0.024390243902439025,0.0,0.0027642478971265,0.0,0.0,63.49677737222057
12,0.17073170731707318,0.08277308301176815,0.1951219512195122,0.0975609756097561,0.32065275606667404,0.058049205839656504,27.81860101978385,0.0
14,0.03841463414634146,0.06574618391922632,0.07317073170731708,0.07317073170731708,0.049756462148276996,0.0082927436913795,0.0,22.635891481104814
18,0.0,0.0088195361627444,0.0,0.024390243902439025,0.0,0.016585487382759,19.44657575144874,21.969224814438146
17,0.0,0.0088195361627444,0.0,0.024390243902439025,0.0,0.016585487382759,14.054137483455218,0.0
25,0.0,0.0088195361627444,0.0,0.024390243902439025,0.0,0.0082927436913795,13.245968093421595,20.372659339714264
82,0.0,0.01812592130279579,0.04878048780487805,0.0,0.024878231074138498,0.0,37.35224060988805,0.0
19,0.0,0.01624891679082968,0.04878048780487805,0.024390243902439025,0.016585487382759,0.0027642478971265,24.270237908642432,0.0
78,0.0,0.0088195361627444,0.0,0.024390243902439025,0.0,0.0027642478971265,53.983280316175055,46.047258313460006
77,0.0,0.013948152770647669,0.024390243902439025,0.0,0.016585487382759,0.0,14.428720995577482,0.0
87,0.1048780487804878,0.0787098661991352,0.0975609756097561,0.21951219512195122,0.11056991588506,0.08016318901666851,39.73330500097431,54.14372966765246
20,0.0,0.02354290792648632,0.04878048780487805,0.0,0.019349735279885497,0.0,12.588343422227169,0.0
22,0.14146341463414633,0.018870220286303967,0.024390243902439025,0.024390243902439025,0.0082927436913795,0.0082927436913795,10.247125915020652,32.63058588308564
16,0.0,0.0088195361627444,0.0,0.024390243902439025,0.0,0.0691061974281625,0.0,27.666066166140634
28,0.0,0.011383844466696035,0.024390243902439025,0.024390243902439025,0.0082927436913795,0.0138212394856325,0.0,16.82106621886618
81,0.0,0.019757288454396418,0.04878048780487805,0.0,0.016585487382759,0.0,32.263553113553115,0.0
67,0.0,0.011383844466696035,0.024390243902439025,0.0,0.0082927436913795,0.0,0.0,35.75309323901101
38,0.0,0.011126589518332132,0.024390243902439025,0.024390243902439025,0.0027642478971265,0.0138212394856325,14.554704078499482,0.0
73,0.0,0.012748280293043347,0.04878048780487805,0.0,0.005528495794253,0.0,36.87255366319636,193.59332899379746
39,0.0,0.027275963007446256,0.024390243902439025,0.0,0.022113983177012,0.0,20.113242418115405,0.0
59,0.0,0.013684608486878046,0.024390243902439025,0.0,0.0082927436913795,0.0,11.080459248353986,0.0
37,0.0,0.040261816550718615,0.04878048780487805,0.024390243902439025,0.0359352226626445,0.027642478971265,23.520237908642432,21.88589148110481
23,0.0,0.01216976420393092,0.024390243902439025,0.024390243902439025,0.0027642478971265,0.0691061974281625,44.657560200941774,30.716039289881866
33,0.0,0.0088195361627444,0.0,0.024390243902439025,0.0,0.0691061974281625,13.80615213546987,0.0
80,0.0,0.0088195361627444,0.0,0.024390243902439025,0.0,0.0691061974281625,20.228188031065265,38.93706968827818
91,0.0,0.015740696229507595,0.024390243902439025,0.0,0.0082927436913795,0.0,33.263553113553115,0.0
36,0.0,0.01825671356274934,0.024390243902439025,0.0,0.0082927436913795,0.0,26.091666480071005,21.88589148110481
